1,13.8425,1.31387
2,10.5968,1.18028
3,8.7823,1.08637
4,7.58313,1.01296
5,6.79541,0.95812
6,6.11933,0.90573
7,4.97807,0.80252
8,4.07347,0.70225
9,4.18155,0.71534
10,3.5588,0.63471
11,3.36735,0.60706
12,3.08605,0.56345
13,3.31048,0.59855
14,3.10261,0.56612
15,2.35429,0.42812
16,2.9631,0.54312
17,2.89468,0.53144
18,2.35118,0.42746
19,2.65534,0.48829
20,2.74187,0.50432
21,2.91863,0.53556
22,2.70865,0.49823
23,3.04143,0.55616
24,2.8579,0.52504
25,2.73896,0.50379
26,2.99886,0.54912
27,2.75556,0.50681
28,2.36882,0.4312
29,2.58676,0.4752
30,2.20919,0.39631
31,2.17119,0.38764
