1,1.05209
1.1,0.87972
1.2,1.21927
1.3,0.8797
1.4,0.88404
1.5,1.18055
1.6,0.84906
1.7,1.16363
1.8,1.09503
1.9,0.97626
2,0.92536
2.1,1.23763
2.2,1.08718
2.3,0.9785
2.4,0.92696
2.5,1.02374
2.6,1.23069
2.7,0.92711
2.8,0.92461
2.9,1.15013
3,1.50021
3.1,1.21463
3.2,1.36254
3.3,1.85209
3.4,1.94605
3.5,2.11637
3.6,2.38187
3.7,2.94834
3.8,2.88743
3.9,3.27729
4,3.86759
4.1,4.13055
4.2,4.49314
4.3,5.0666
4.4,5.40051
4.5,5.48657
4.6,5.73988
4.7,5.53266
4.8,5.87868
4.9,5.45496
5,5.37838
5.1,5.05655
5.2,4.57257
5.3,4.26528
5.4,3.84779
5.5,3.61188
5.6,3.07504
5.7,2.8089
5.8,2.52292
5.9,1.87392
6,1.99879
6.1,1.4073
6.2,1.48252
6.3,1.58805
6.4,1.08026
6.5,1.08447
6.6,0.98768
6.7,1.16543
6.8,1.16575
6.9,0.87247
7,0.82819
7.1,0.93083
7.2,0.88391
7.3,1.04254
7.4,0.90805
7.5,1.02602
7.6,1.08476
7.7,1.22428
7.8,1.07008
7.9,0.80158
8,1.16537
